city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lisbon,38.7452,-9.1604,Portugal,PT,Lisboa,primary,506654,506654
Vila Nova de Gaia,41.1333,-8.6167,Portugal,PT,Porto,minor,302295,302295
Porto,41.1495,-8.6108,Portugal,PT,Porto,admin,237591,237591
Braga,41.5333,-8.4167,Portugal,PT,Braga,admin,181494,181494
Matosinhos,41.2077,-8.6674,Portugal,PT,Porto,minor,175478,175478
Amadora,38.7500,-9.2333,Portugal,PT,Lisboa,minor,175136,175136
Almada,38.6803,-9.1583,Portugal,PT,Setúbal,minor,174030,174030
Oeiras,38.6970,-9.3017,Portugal,PT,Lisboa,minor,172120,172120
Gondomar,41.1500,-8.5333,Portugal,PT,Porto,minor,168027,168027
Guimarães,41.4450,-8.2908,Portugal,PT,Braga,minor,158124,158124
Odivelas,38.8000,-9.1833,Portugal,PT,Lisboa,minor,144549,144549
Coimbra,40.2111,-8.4291,Portugal,PT,Coimbra,admin,143396,143396
Vila Franca de Xira,38.9500,-8.9833,Portugal,PT,Lisboa,minor,136886,136886
Maia,41.2333,-8.6167,Portugal,PT,Porto,minor,135306,135306
Leiria,39.7431,-8.8069,Portugal,PT,Leiria,admin,126897,126897
Setúbal,38.5243,-8.8926,Portugal,PT,Setúbal,admin,121185,121185
Funchal,32.6500,-16.9167,Portugal,PT,Madeira,admin,111892,111892
Viseu,40.6667,-7.9167,Portugal,PT,Viseu,admin,99274,99274
Valongo,41.1833,-8.5000,Portugal,PT,Porto,minor,93858,93858
Viana do Castelo,41.7000,-8.8333,Portugal,PT,Viana do Castelo,admin,88725,88725
Paredes,41.2000,-8.3333,Portugal,PT,Porto,minor,86854,86854
Vila do Conde,41.3500,-8.7500,Portugal,PT,Porto,minor,79533,79533
Torres Vedras,39.0833,-9.2667,Portugal,PT,Lisboa,minor,79465,79465
Barreiro,38.6609,-9.0733,Portugal,PT,Setúbal,minor,78764,78764
Aveiro,40.6389,-8.6553,Portugal,PT,Aveiro,admin,78450,78450
Queluz,38.7566,-9.2545,Portugal,PT,Lisboa,,78273,78273
Mafra,38.9333,-9.3333,Portugal,PT,Lisboa,minor,76685,76685
Penafiel,41.2000,-8.2833,Portugal,PT,Porto,minor,72265,72265
Loulé,37.1440,-8.0235,Portugal,PT,Faro,minor,70622,70622
Ponta Delgada,37.7400,-25.6700,Portugal,PT,Azores,admin,68809,68809
Moita,38.6500,-8.9833,Portugal,PT,Setúbal,minor,66029,66029
Faro,37.0167,-7.9333,Portugal,PT,Faro,admin,64560,64560
Póvoa de Varzim,41.3916,-8.7571,Portugal,PT,Porto,minor,63408,63408
Palmela,38.5667,-8.9000,Portugal,PT,Setúbal,minor,62831,62831
Santarém,39.2369,-8.6850,Portugal,PT,Santarém,admin,62200,62200
Figueira da Foz,40.1508,-8.8618,Portugal,PT,Coimbra,minor,62125,62125
Felgueiras,41.3667,-8.1833,Portugal,PT,Porto,minor,58065,58065
Paços de Ferreira,41.2833,-8.3833,Portugal,PT,Porto,minor,56340,56340
Amarante,41.2667,-8.0833,Portugal,PT,Porto,minor,56264,56264
Castelo Branco,39.8230,-7.4931,Portugal,PT,Castelo Branco,admin,56109,56109
Évora,38.5667,-7.9000,Portugal,PT,Évora,admin,55620,55620
Portimão,37.1333,-8.5333,Portugal,PT,Faro,minor,55614,55614
Pombal,39.9162,-8.6279,Portugal,PT,Leiria,minor,55217,55217
Marco de Canavezes,41.1833,-8.1500,Portugal,PT,Porto,minor,53450,53450
Vila Real,41.3002,-7.7398,Portugal,PT,Vila Real,admin,51850,51850
Covilhã,40.2833,-7.5000,Portugal,PT,Castelo Branco,minor,51797,51797
Caldas da Rainha,39.4069,-9.1363,Portugal,PT,Leiria,minor,51729,51729
Montijo,38.7049,-8.9757,Portugal,PT,Setúbal,minor,51222,51222
Rio Tinto,41.1833,-8.5667,Portugal,PT,Porto,,50713,50713
Fafe,41.4500,-8.1667,Portugal,PT,Braga,minor,50633,50633
Sesimbra,38.4437,-9.0996,Portugal,PT,Setúbal,minor,49500,49500
Amora,38.6265,-9.1189,Portugal,PT,Setúbal,,48629,48629
Vila Verde,41.6500,-8.4333,Portugal,PT,Braga,minor,47888,47888
Lousada,41.2833,-8.2833,Portugal,PT,Porto,minor,47387,47387
Ourém,39.6500,-8.5833,Portugal,PT,Santarém,minor,45932,45932
Olhão,37.0278,-7.8389,Portugal,PT,Faro,minor,45396,45396
Ponte de Lima,41.7667,-8.5833,Portugal,PT,Viana do Castelo,minor,43498,43498
Santa Cruz,32.6750,-16.8309,Portugal,PT,Madeira,,43005,43005
Guarda,40.5364,-7.2683,Portugal,PT,Guarda,admin,42541,42541
Chaves,41.7399,-7.4707,Portugal,PT,Vila Real,minor,41243,41243
Tomar,39.6000,-8.4167,Portugal,PT,Santarém,minor,40677,40677
Ílhavo,40.6000,-8.6667,Portugal,PT,Aveiro,minor,40349,40349
Trofa,41.3374,-8.5596,Portugal,PT,Porto,minor,38999,38999
Ermezinde,41.2133,-8.5472,Portugal,PT,Porto,,38798,38798
Marinha Grande,39.7500,-8.9333,Portugal,PT,Leiria,minor,38681,38681
Silves,37.1833,-8.4333,Portugal,PT,Faro,minor,37126,37126
Torres Novas,39.4833,-8.5333,Portugal,PT,Santarém,minor,36717,36717
