Oblask,Present1Jan2022,PresentAverage2021,Resident1Jan2022,ResidentAverage2021
Ukraine,41167336,41377845,40997699,41208208
Vinnytsya,1509515,1519319,1502430,1512234
Volyn,1021356,1024376,1018628,1021648
Dnipropetrovsk,3096485,3119260,3093176,3115951
Donetsk,4059372,4079826,4046487,4066941
Zhytomyr,1179032,1187263,1179801,1188032
Zakarpattya,1244476,1247302,1241643,1244469
Zaporizhzhya,1638462,1652489,1637673,1651700
Ivano-Frankivsk,1351822,1356466,1349096,1353740
Kyiv,1795079,1791805,1789300,1786026
Kirovohrad,903712,911920,897297,905505
Luhansk,2102921,2112121,2098324,2107524
Lviv,2478134,2487942,2459764,2469572
Mykolayiv,1091821,1100107,1091106,1099392
Odesa,2351392,2359749,2340332,2348689
Poltava,1352283,1361906,1344445,1354068
Rivne,1141784,1145120,1140724,1144060
Sumy,1035772,1044612,1033580,1042420
Ternopil,1021713,1026138,1018462,1022887
Kharkiv,2598961,2616398,2583325,2600762
Kherson,1001598,1009153,1000166,1007721
Khmelnytskiy,1228829,1236308,1225666,1233145
Cherkasy,1160744,1169505,1157115,1165876
Chernivtsi,890457,893511,887392,890446
Chernihiv,959315,968008,950773,959466
City of Kyiv,2952301,2957241,2910994,2915934
