country,city,location,latitude,longitude,population,institution,website
AT,Graz,ARA Graz,47.070713,15.439504,487040.0,,https://biomassspec.gmi.tirol/
AT,Hall-Wattens,Abwasserverband Hall in Tirol-Fritzens,47.29168,11.59284,78180.0,,https://biomassspec.gmi.tirol/
AT,Innsbruck,ARA-Innsbruck,47.269212,11.404102,251656.0,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
AT,Kapfenberg,Kläranlage Kapfenberg,47.443562,15.2901,31032.0,,https://biomassspec.gmi.tirol/
AT,Klagenfurt,,46.623943,14.3075976,,,
AT,Klosterneuburg,Klosterneuburg,48.309866,16.323772,30000.0,"Insitute for Water quality, Resource and Waste management",https://biomassspec.gmi.tirol/
AT,Knittelfeld,,47.2147399,14.8297233,,,
AT,Korneuburg,,48.3440605,16.3334321,,,
AT,Kufstein,Abwasserverband Kufstein,47.582958,12.17077,41688.0,,https://biomassspec.gmi.tirol/
AT,Mürzzuschlag,Kläranlage Langenwang,47.566639,15.6182,30200.0,,https://biomassspec.gmi.tirol/
AT,Purgstall,GAV Erlauftal,48.057812,15.13545,7774.0,,https://biomassspec.gmi.tirol/
AT,Region Millstattersee,Wasserverband Millstaettersee,46.81924,13.52146,75500.0,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
AT,Region Millstättersee,,46.790330172,13.574497,,,
AT,Salzburg,,47.7981346,13.0464806,,,
AT,Steyr,,48.0390046,14.4191276,,,
AT,Strass im Zillertal,AIZ Abwasserverband,47.395748,11.82211,135458.0,,https://biomassspec.gmi.tirol/
AT,Wasserverband Hofsteig,ARA Hofsteig,47.4852,9.6762,107000.0,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
AT,Wien,,48.2083537,16.3725042,,,
AT,Wiener Neustadt,,47.80708635,16.233260479538174,,,
AT,Wildon,,46.8873498,15.5145485,,,
BA,Sarajevo,Butile,43.87,18.29,130000.0,Hydro-Engineering Institute Sarajevo,http://www.heis.com.ba/
BE,Antwerp Deurne,Deurne,51.22,4.46,213876.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Antwerp Zuid,Antwerpen-Zuid,51.2,4.39,130218.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Boom,Boom,51.08608,4.36633,30600.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Brugge,Brugge,51.20942,3.2252,300000.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Brussels,Brussel-Noord,50.86,4.36,953987.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Geraardsbergen,Geraardsbergen,50.77,3.88,29047.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Koksijde,Wulpen,51.1,2.7,78441.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Merchtem,Merchtem,50.95842,4.23244,16200.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Ninove,Ninove,50.85,4.03,36179.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Oostende,Oostende,51.21543,2.928656,159000.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
BE,Ruisbroek (Puurs),Ruisbroek,50.79035,4.29862,36000.0,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
CH,Basel,ARA Basel,47.56,7.59,260000.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH,Berne,ARA Bern,46.83,7.62,206655.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH,Geneva,STEP SIG,46.2,6.17,417200.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH,Lausanne,STEP Vidy,46.52,6.63,220000.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH,Lugano,Bioggio,46.02,8.91,103561.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH,St. Gallen Hofen,St. Gallen Hofen,47.42,9.38,52000.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH,Zurich,Werdhölzli,47.37,8.51,410000.0,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CY,Agia Napa,,34.6746676,33.0459102,,,
CY,Larnaca,,34.9236095,33.6236184,,,
CY,Limassol,Sewerage Board of Limassol-Amathus (SBLA),34.69,33.02,188249.0,"NIREAS, International Water Research Center, University of Cyprus",http://www.nireas-iwrc.org/
