id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14667447,Oporto - Paranhos,76561575,Nelson,PORTO,Paranhos,41.16886,-8.60254,Entire home/apt,,2,0,,,1,0,0,
17136811,"GAIA (OPORTO , PORTUGAL) - CENTER",109834431,Joana,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.11466,-8.60563,Private room,,1,2,2017-04-21,0.02,1,0,0,
17730260,Home sweet little home,12605401,Maria,PORTO,Paranhos,41.16795,-8.6214,Entire home/apt,,3,92,2020-11-06,1.11,1,0,0,41045/AL
21027292,BedNShower EuroPorto,111401508,Adriano,PORTO,Bonfim,41.14755,-8.59364,Private room,,1,0,,,2,0,0,
23975787,Pretty Porto Apartment by SOULSHARING.PORTO,180330708,Jurjen,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15372,-8.60886,Entire home/apt,245,2,52,2024-02-25,0.72,1,243,12,66366/AL
7746705,"Room in Campo Alegre, Porto",39702610,Vitor,PORTO,Lordelo do Ouro e Massarelos,41.15324,-8.62896,Private room,,2,0,,,4,0,0,
18374957,See the Sea - Beach Flat,127246990,Dani,VILA NOVA DE GAIA,Canidelo,41.12866,-8.66344,Entire home/apt,,3,20,2019-08-11,0.24,1,0,0,40528/AL
32236818,Lorikeet blue,26373030,Inês,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14845,-8.60988,Private room,,2,126,2022-11-27,2.08,3,0,0,89420/AL
46533846,Porto Casa com Vista,206974683,Carlos Gabriel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15161,-8.61336,Private room,,1,0,,,1,0,0,Exempt
965049577275049008,Cama em Dormitório de 6 Pessoas,532229095,Porto Hostel,PORTO,Bonfim,41.1465568,-8.595140899999999,Shared room,21,1,0,,,21,231,0,147982/AL
20555788,Princesa Caroline - Jóia da Coroa,146782617,Jóia Da Coroa Porto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14591,-8.61259,Private room,,1,0,,,2,0,0,55881/AL
21795489,Apartamento ao Sol JORVAJOR,155218669,Lara,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.11875,-8.61019,Entire home/apt,,1,21,2018-11-04,0.29,1,0,0,62273/AL
35304928,GuestReady - Urban escape in Porto,364783572,GuestReady,PORTO,Paranhos,41.1686,-8.62286,Entire home/apt,,1,63,2023-11-03,1.08,159,199,18,94339/AL
