RK,Team,Total Points,Previous Points,Difference,Confederation
18,Japan,1621.88,1614.33,7.55,AFC
20,IR Iran,1613.96,1608.23,5.73,AFC
23,Korea Republic,1563.99,1566.21,-2.22,AFC
24,Australia,1563.93,1554.82,9.11,AFC
34,Qatar,1507.94,1499.34,8.6,AFC
53,Saudi Arabia,1443.53,1441.4,2.13,AFC
58,Iraq,1420.47,1409.44,11.03,AFC
64,Uzbekistan,1386.58,1376.5,10.08,AFC
67,United Arab Emirates,1366.45,1355.55,10.9,AFC
71,Jordan,1350.21,1343.6,6.61,AFC
77,Oman,1323.23,1307.6,15.63,AFC
80,Bahrain,1307.53,1297.32,10.21,AFC
88,China PR,1275.22,1273.78,1.44,AFC
89,Syria,1266.52,1265.51,1.01,AFC
93,Palestine,1238.66,1227.2,11.46,AFC
99,Tajikistan,1216.76,1218.89,-2.13,AFC
100,Kyrgyz Republic,1213.6,1196.97,16.63,AFC
101,Thailand,1208.93,1206.72,2.21,AFC
115,Vietnam,1164.54,1194.58,-30.04,AFC
118,Korea DPR,1160.57,1168.12,-7.55,AFC
120,Lebanon,1158.96,1168.07,-9.11,AFC
121,India,1145.94,1165.17,-19.23,AFC
134,Indonesia,1102.7,1072.66,30.04,AFC
138,Malaysia,1094.54,1110.17,-15.63,AFC
139,Kuwait,1085.46,1094.05,-8.59,AFC
141,Philippines,1075.14,1086.17,-11.03,AFC
143,Turkmenistan,1072.52,1078.25,-5.73,AFC
151,Afghanistan,1036.92,1017.68,19.24,AFC
155,Singapore,1019.06,1020.5,-1.44,AFC
156,Yemen,1017.05,1027.94,-10.89,AFC
157,"Hong Kong, China",1012.83,1022.91,-10.08,AFC
159,Chinese Taipei,1007.3,1023.93,-16.63,AFC
161,Maldives,1003.48,1003.48,-,AFC
163,Myanmar,999.46,1000.46,-1,AFC
178,Nepal,937.84,948.05,-10.21,AFC
179,Cambodia,925.4,931.47,-6.07,AFC
184,Bangladesh,905.3,916.75,-11.45,AFC
185,Bhutan,904.1,913.02,-8.92,AFC
186,Macau,896.62,896.62,-,AFC
190,Laos,889.62,889.62,-,AFC
191,Mongolia,884.04,889.16,-5.12,AFC
194,Brunei Darussalam,872.65,870.63,2.02,AFC
195,Pakistan,849.94,856.54,-6.6,AFC
198,Timor-Leste,843.4,843.4,-,AFC
204,Sri Lanka,829.41,822.03,7.38,AFC
205,Guam,821.91,821.91,-,AFC
13,Morocco,1661.42,1663.39,-1.97,CAF
17,Senegal,1624.73,1620.74,3.99,CAF
30,Nigeria,1520.27,1522.26,-1.99,CAF
37,Egypt,1499.72,1500.38,-0.66,CAF
38,Côte d'Ivoire,1498.8,1494.57,4.23,CAF
41,Tunisia,1493.12,1491.15,1.97,CAF
43,Algeria,1482.71,1480.24,2.47,CAF
