"Year","Category","Nominee(s)","Nominator(s)"
"1901","Physics","Svante Arrhenius","Adolf von Baeyer"
"1901","Physics","Svante Arrhenius","August Sundell"
"1901","Physics","Henri Becquerel","Marcellin Berthelot"
"1901","Physics","William Campbell","George Hale"
"1901","Physics","William Campbell","Simon Newcomb"
"1901","Physics","Philipp E.A. v. Lenard","Silvanus Thompson"
"1901","Physics","Philipp E.A. v. Lenard
 Wilhelm Röntgen","Knut Ångström"
"1901","Physics","Philipp E.A. v. Lenard
 Wilhelm Röntgen","Svante Arrhenius"
"1901","Physics","Philipp E.A. v. Lenard
 Wilhelm Röntgen","Bernhard Hasselberg"
"1901","Physics","Philipp E.A. v. Lenard
 Wilhelm Röntgen","Hugo Hildebrandsson"
"1901","Physics","Philipp E.A. v. Lenard
 Wilhelm Röntgen","Robert Thalén"
"1901","Physics","Gabriel Lippmann","Joseph de Lacaze-Duthiers"
"1901","Physics","Guglielmo Marconi","Pietro Blaserna"
"1901","Physics","Adolf Nordenskiöld","Elis Sidenbladh"
"1901","Physics","Wilhelm Röntgen","Wilhelm von Bezold"
"1901","Physics","Wilhelm Röntgen","Anton Dohrn"
"1901","Physics","Wilhelm Röntgen","Friedrich von Hefner-Alteneck"
"1901","Physics","Wilhelm Röntgen","Rudolph von Koelliker"
"1901","Physics","Grenville Clark","Louis Susky"
"1901","Physics","Wilhelm Röntgen","Max von Pettenkofer"
"1901","Physics","Wilhelm Röntgen","Max Planck"
"1901","Physics","Wilhelm Röntgen","Friedrich von Recklinghausen"
"1901","Physics","Wilhelm Röntgen","Franz Reuleaux"
"1901","Physics","Wilhelm Röntgen","E Stuve"
"1901","Physics","Wilhelm Röntgen","Emil Warburg"
"1901","Physics","Wilhelm Röntgen","Gustav Zeuner"
"1901","Physics","William Thomson, Lord Kelvin","Wilhelm Röntgen"
"1901","Physics","Johannes van der Waals","Heike Kamerlingh Onnes"
"1901","Physics","Pieter Zeeman","Christian Christiansen"
"1901","Physics","Pieter Zeeman","Albert Michelson"
"1902","Physics","Svante Arrhenius","Friedrich von Hefner-Alteneck"
"1902","Physics","Svante Arrhenius","August Sundell"
"1902","Physics","Svante Arrhenius","Jacobus van´t Hoff"
"1902","Physics","Henri Becquerel","Marcellin Berthelot"
"1902","Physics","Henri Becquerel
 Marie Curie
 Pierre Curie","Gaston Darboux"
"1902","Physics","John Strutt, Lord Rayleigh","Emil Warburg"
"1902","Physics","Henri Becquerel
 Marie Curie
 Pierre Curie","Emil Warburg"
"1902","Physics","René Benoit
 Pierre Chappuis
 Charles Guillaume","Kristian Prytz"
"1902","Physics","Pierre Curie","Eleutère Mascart"
"1902","Physics","Wilhelm Hittorf","Adolf von Baeyer"
"1902","Physics","John Kerr","Silvanus Thompson"
"1902","Physics","John Kerr","William Thomson, Lord Kelvin"
"1902","Physics","Philipp E.A. v. Lenard","Vilhelm Bjerknes"
"1902","Physics","Hendrik Lorentz","Joseph Boussinesq"
"1902","Physics","Hendrik Lorentz","Alfred Cornu"
"1902","Physics","Hendrik Lorentz","Lazarus Fuchs"
"1902","Physics","Hendrik Lorentz","Gabriel Lippmann"
"1902","Physics","Hendrik Lorentz","Gösta Mittag-Leffler"
"1902","Physics","Hendrik Lorentz","Henri Poincaré"
"1902","Physics","Guglielmo Marconi","Pietro Blaserna"
"1902","Physics","Guglielmo Marconi","John Fleming"
"1902","Physics","John Strutt, Lord Rayleigh","Max Planck"
"1902","Physics","Sir Joseph Thomson","George Hale"
"1902","Physics","William Thomson, Lord Kelvin","John Strutt, Lord Rayleigh"
"1902","Physics","Pieter Zeeman","Svante Arrhenius"
"1902","Physics","Hendrik Lorentz","Max Planck"
"1902","Physics","Hendrik Lorentz","Kristian Birkeland"
"1902","Physics","Hendrik Lorentz","C. Gustaf Lundquist"
"1902","Physics","Hendrik Lorentz","Wilhelm Röntgen"
"1903","Physics","Svante Arrhenius","Christian Christiansen"
"1903","Physics","Svante Arrhenius","Friedrich von Hefner-Alteneck"
"1903","Physics","Svante Arrhenius","Edvard Hjelt"
"1903","Physics","Svante Arrhenius","Selim Lemström"
"1903","Physics","Svante Arrhenius","August Sundell"
"1903","Physics","Svante Arrhenius","Jacobus van´t Hoff"
"1903","Physics","Svante Arrhenius","Emil Warburg"
"1903","Physics","Henri Becquerel","Marcellin Berthelot"
"1903","Physics","Henri Becquerel
 Marie Curie
 Pierre Curie","Charles Bouchard"
"1903","Physics","Henri Becquerel
 Pierre Curie","Gaston Darboux"
"1903","Physics","Henri Becquerel
 Pierre Curie","Gabriel Lippmann"
"1903","Physics","Henri Becquerel
 Pierre Curie","Eleutère Mascart"
"1903","Physics","Henri Becquerel
 Pierre Curie","Henri Poincaré"
"1903","Physics","René Benoit
 Pierre Chappuis
 Charles Guillaume","Kristian Prytz"
"1903","Physics","Ludwig Boltzmann","Adolf von Baeyer"
"1903","Physics","Wilhelm Hittorf","Hermann Simon"
"1903","Physics","John Kerr","William Thomson, Lord Kelvin"
"1903","Physics","Gustave Le Bon","Pierre de Heen"
"1903","Physics","Philipp E.A. v. Lenard","Vilhelm Bjerknes"
"1903","Physics","Gabriel Lippmann","Henri Becquerel"
"1903","Physics","Guglielmo Marconi","Claes Adelsköld"
"1903","Physics","Guglielmo Marconi","Pietro Blaserna"
"1903","Physics","Guglielmo Marconi","Antonio Roiti"
"1903","Physics","Guglielmo Marconi","Giovanni Schiaparelli"
"1903","Physics","Guglielmo Marconi","Elis Sidenbladh"
"1903","Physics","Guglielmo Marconi","Hjalmar Sjögren"
"1903","Physics","John Strutt, Lord Rayleigh","Louis Bell"
"1903","Physics","John Strutt, Lord Rayleigh","Friedrich Kohlrausch"
"1903","Physics","John Strutt, Lord Rayleigh","John Lubbock"
"1903","Physics","John Strutt, Lord Rayleigh","Max Planck"
"1903","Physics","John Strutt, Lord Rayleigh","Silvanus Thompson"
"1903","Physics","John Strutt, Lord Rayleigh","Sir Joseph Thomson"
"1903","Physics","John Strutt, Lord Rayleigh","William White"
"1903","Physics","William Thomson, Lord Kelvin","Wilhelm Röntgen"
"1903","Physics","William Thomson, Lord Kelvin","John Strutt, Lord Rayleigh"
"1904","Physics","Philipp E.A. v. Lenard","Otto Wiener"
"1904","Physics","Ernst Abbe
 Wilhelm Hittorf
 Friedrich Kohlrausch","Otto Wiener"
"1904","Physics","René Benoit
 Pierre Chappuis
 Charles Guillaume","Kristian Prytz"
"1904","Physics","Edouard Branly","August Sundell"
"1904","Physics","Sir Joseph Thomson","Nikolay Umov"
"1904","Physics","Sir James Dewar
 Walter Kaufmann
 Karol Olszewski","Nikolay Umov"
"1904","Physics","Julius Elster
 Hans Geitel","Adolf von Baeyer"
"1904","Physics","Philipp E.A. v. Lenard
 Oliver Heaviside","Vilhelm Bjerknes"
"1904","Physics","John Strutt, Lord Rayleigh","Wilhelm Hallwachs"
"1904","Physics","Friedrich Kohlrausch
 Philipp E.A. v. Lenard
 Arthur Schuster","Wilhelm Hallwachs"
