date, value
2012-05-14,110.7900
2012-05-15,111.4000
2012-05-16,109.8000
2012-05-17,109.3100
2012-05-18,108.0300
2012-05-21,109.0200
2012-05-22,109.7600
2012-05-23,106.8800
2012-05-24,107.2000
2012-05-25,107.8600
2012-05-29,107.5500
2012-05-30,103.8500
2012-05-31,103.8600
2012-06-01,98.6300
2012-06-04,97.7400
2012-06-05,98.6500
2012-06-06,101.1400
2012-06-07,100.0500
2012-06-08,97.5700
2012-06-11,98.6000
2012-06-12,96.5900
2012-06-13,97.2900
2012-06-14,96.4600
2012-06-15,97.1300
2012-06-18,95.2100
2012-06-19,95.1400
2012-06-20,93.5000
2012-06-21,89.2200
2012-06-22,89.2200
2012-06-25,88.6900
2012-06-26,90.1900
2012-06-27,92.0600
2012-06-28,91.0200
2012-06-29,94.1700
2012-07-02,95.2800
2012-07-03,99.8900
2012-07-05,101.5400
2012-07-06,98.5000
2012-07-09,99.9400
2012-07-10,99.1500
2012-07-11,99.2300
2012-07-12,99.1800
2012-07-13,101.9100
2012-07-16,102.1000
2012-07-17,104.2100
2012-07-18,105.9200
2012-07-19,107.7900
2012-07-20,106.9800
2012-07-23,103.9100
2012-07-24,103.5700
2012-07-25,102.3500
2012-07-26,104.7700
2012-07-27,106.3000
2012-07-30,106.5400
2012-07-31,105.9300
2012-08-01,106.7800
2012-08-02,107.5500
2012-08-03,109.5700
2012-08-06,110.0100
2012-08-07,112.3900
2012-08-08,113.4200
2012-08-09,113.5200
2012-08-10,113.1300
2012-08-13,114.4800
2012-08-14,113.9000
2012-08-15,115.5100
2012-08-16,116.1200
2012-08-17,115.2000
2012-08-20,115.5000
2012-08-21,116.0300
2012-08-22,115.7700
2012-08-23,117.4500
2012-08-24,115.7600
2012-08-27,113.7400
2012-08-28,112.6200
2012-08-29,112.5300
2012-08-30,112.2800
2012-08-31,113.9300
2012-09-04,114.9800
2012-09-05,113.3200
2012-09-06,114.5000
2012-09-07,113.6400
2012-09-10,113.8400
2012-09-11,114.8600
2012-09-12,114.8600
2012-09-13,116.0000
2012-09-14,117.4800
2012-09-17,116.7000
2012-09-18,113.2900
2012-09-19,108.4900
2012-09-20,109.4100
2012-09-21,111.2700
2012-09-24,109.2000
2012-09-25,110.7700
2012-09-26,108.9900
2012-09-27,111.4500
2012-09-28,111.3600
2012-10-01,112.5800
2012-10-02,112.4900
2012-10-03,109.3200
2012-10-04,110.4800
2012-10-05,112.1700
2012-10-08,112.6000
