data;tipoCombustivel;precoMedio
"2015-04-20";"Gasolina simples 95";"1,3940 €"
"2015-04-21";"Gasolina simples 95";"1,4243 €"
"2015-04-22";"Gasolina simples 95";"1,4243 €"
"2015-04-23";"Gasolina simples 95";"1,4243 €"
"2015-04-24";"Gasolina simples 95";"1,4243 €"
"2015-04-25";"Gasolina simples 95";"1,4243 €"
"2015-04-26";"Gasolina simples 95";"1,4243 €"
"2015-04-27";"Gasolina simples 95";"1,4243 €"
"2015-04-28";"Gasolina simples 95";"1,4383 €"
"2015-04-29";"Gasolina simples 95";"1,4383 €"
"2015-04-30";"Gasolina simples 95";"1,4383 €"
"2015-05-01";"Gasolina simples 95";"1,4383 €"
"2015-05-02";"Gasolina simples 95";"1,4383 €"
"2015-05-03";"Gasolina simples 95";"1,4383 €"
"2015-05-04";"Gasolina simples 95";"1,4490 €"
"2015-05-05";"Gasolina simples 95";"1,4490 €"
"2015-05-06";"Gasolina simples 95";"1,4490 €"
"2015-05-07";"Gasolina simples 95";"1,4490 €"
"2015-05-08";"Gasolina simples 95";"1,4490 €"
"2015-05-09";"Gasolina simples 95";"1,4490 €"
"2015-05-10";"Gasolina simples 95";"1,4490 €"
"2015-05-11";"Gasolina simples 95";"1,4478 €"
"2015-05-12";"Gasolina simples 95";"1,4478 €"
"2015-05-13";"Gasolina simples 95";"1,4478 €"
"2015-05-14";"Gasolina simples 95";"1,4478 €"
"2015-05-15";"Gasolina simples 95";"1,4478 €"
"2015-05-16";"Gasolina simples 95";"1,4478 €"
"2015-05-17";"Gasolina simples 95";"1,4478 €"
"2015-05-18";"Gasolina simples 95";"1,4484 €"
"2015-05-19";"Gasolina simples 95";"1,4484 €"
"2015-05-20";"Gasolina simples 95";"1,4484 €"
"2015-05-21";"Gasolina simples 95";"1,4489 €"
"2015-05-22";"Gasolina simples 95";"1,4489 €"
"2015-05-23";"Gasolina simples 95";"1,4489 €"
"2015-05-24";"Gasolina simples 95";"1,4489 €"
"2015-05-25";"Gasolina simples 95";"1,4489 €"
"2015-05-26";"Gasolina simples 95";"1,4520 €"
"2015-05-27";"Gasolina simples 95";"1,4520 €"
"2015-05-28";"Gasolina simples 95";"1,4520 €"
"2015-05-29";"Gasolina simples 95";"1,4520 €"
"2015-05-30";"Gasolina simples 95";"1,4520 €"
"2015-05-31";"Gasolina simples 95";"1,4520 €"
"2015-06-01";"Gasolina simples 95";"1,5168 €"
"2015-06-02";"Gasolina simples 95";"1,5175 €"
"2015-06-03";"Gasolina simples 95";"1,5173 €"
"2015-06-04";"Gasolina simples 95";"1,5176 €"
"2015-06-05";"Gasolina simples 95";"1,5170 €"
"2015-06-06";"Gasolina simples 95";"1,5121 €"
"2015-06-07";"Gasolina simples 95";"1,5123 €"
"2015-06-08";"Gasolina simples 95";"1,5191 €"
"2015-06-09";"Gasolina simples 95";"1,5215 €"
"2015-06-10";"Gasolina simples 95";"1,5214 €"
"2015-06-11";"Gasolina simples 95";"1,5214 €"
"2015-06-12";"Gasolina simples 95";"1,5210 €"
"2015-06-13";"Gasolina simples 95";"1,5164 €"
"2015-06-14";"Gasolina simples 95";"1,5166 €"
"2015-06-15";"Gasolina simples 95";"1,5256 €"
"2015-06-16";"Gasolina simples 95";"1,5299 €"
"2015-06-17";"Gasolina simples 95";"1,5303 €"
"2015-06-18";"Gasolina simples 95";"1,5304 €"
"2015-06-19";"Gasolina simples 95";"1,5301 €"
"2015-06-20";"Gasolina simples 95";"1,5252 €"
"2015-06-21";"Gasolina simples 95";"1,5253 €"
"2015-06-22";"Gasolina simples 95";"1,5311 €"
"2015-06-23";"Gasolina simples 95";"1,5316 €"
"2015-06-24";"Gasolina simples 95";"1,5314 €"
"2015-06-25";"Gasolina simples 95";"1,5331 €"
"2015-06-26";"Gasolina simples 95";"1,5325 €"
"2015-06-27";"Gasolina simples 95";"1,5276 €"
"2015-06-28";"Gasolina simples 95";"1,5278 €"
"2015-06-29";"Gasolina simples 95";"1,5284 €"
"2015-06-30";"Gasolina simples 95";"1,5211 €"
"2015-07-01";"Gasolina simples 95";"1,5191 €"
"2015-07-02";"Gasolina simples 95";"1,5188 €"
"2015-07-03";"Gasolina simples 95";"1,5183 €"
"2015-07-04";"Gasolina simples 95";"1,5138 €"
"2015-07-05";"Gasolina simples 95";"1,5141 €"
"2015-07-06";"Gasolina simples 95";"1,5234 €"
"2015-07-07";"Gasolina simples 95";"1,5267 €"
"2015-07-08";"Gasolina simples 95";"1,5262 €"
"2015-07-09";"Gasolina simples 95";"1,5260 €"
"2015-07-10";"Gasolina simples 95";"1,5256 €"
"2015-07-11";"Gasolina simples 95";"1,5189 €"
"2015-07-12";"Gasolina simples 95";"1,5192 €"
"2015-07-13";"Gasolina simples 95";"1,5379 €"
"2015-07-14";"Gasolina simples 95";"1,5438 €"
"2015-07-15";"Gasolina simples 95";"1,5444 €"
"2015-07-16";"Gasolina simples 95";"1,5447 €"
"2015-07-17";"Gasolina simples 95";"1,5443 €"
"2015-07-18";"Gasolina simples 95";"1,5399 €"
"2015-07-19";"Gasolina simples 95";"1,5400 €"
"2015-07-20";"Gasolina simples 95";"1,5341 €"
"2015-07-21";"Gasolina simples 95";"1,5211 €"
"2015-07-22";"Gasolina simples 95";"1,5203 €"
"2015-07-23";"Gasolina simples 95";"1,5202 €"
"2015-07-24";"Gasolina simples 95";"1,5197 €"
"2015-07-25";"Gasolina simples 95";"1,5151 €"
"2015-07-26";"Gasolina simples 95";"1,5152 €"
"2015-07-27";"Gasolina simples 95";"1,5161 €"
"2015-07-28";"Gasolina simples 95";"1,5092 €"
"2015-07-29";"Gasolina simples 95";"1,5086 €"
"2015-07-30";"Gasolina simples 95";"1,5086 €"
"2015-07-31";"Gasolina simples 95";"1,5088 €"
"2015-08-01";"Gasolina simples 95";"1,5028 €"
"2015-08-02";"Gasolina simples 95";"1,5029 €"
"2015-08-03";"Gasolina simples 95";"1,5012 €"
"2015-08-04";"Gasolina simples 95";"1,4942 €"
"2015-08-05";"Gasolina simples 95";"1,4919 €"
"2015-08-06";"Gasolina simples 95";"1,4910 €"
"2015-08-07";"Gasolina simples 95";"1,4903 €"
"2015-08-08";"Gasolina simples 95";"1,4843 €"
"2015-08-09";"Gasolina simples 95";"1,4846 €"
"2015-08-10";"Gasolina simples 95";"1,4855 €"
"2015-08-11";"Gasolina simples 95";"1,4786 €"
"2015-08-12";"Gasolina simples 95";"1,4767 €"
