Year,Metabolite,Site ID,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2022,amphetamine,AT001,AT,Graz,24,20.9,24.22,27.86,28.27,23.8,22.2,22.37,26.03,24.46
2022,amphetamine,AT002,AT,Hall-Wattens,9.01,13.61,9.28,11.82,11.08,11.31,6.84,9.82,10.87,10.42
2022,amphetamine,AT004,AT,Innsbruck,10.18,9.8,11.7,16.02,14.86,13.35,19.45,13.14,13.98,13.62
2022,amphetamine,AT005,AT,Kapfenberg,32.16,28.14,30.94,21.49,21.35,23.8,12.96,24.42,24.4,24.41
2022,amphetamine,AT006,AT,Klagenfurt,6.74,6.87,12.77,9.57,11.62,7.86,6.65,6.76,10.46,8.87
2022,amphetamine,AT008,AT,Knittelfeld,10.71,16.92,18.09,20.1,29.02,25.66,11.38,13,23.22,18.84
2022,amphetamine,AT009,AT,Korneuburg,22.82,17.16,9.94,22.64,17.14,15.2,12.95,17.64,16.23,16.83
2022,amphetamine,AT010,AT,Kufstein,9.17,8.31,9,10.58,14.45,13.37,17.61,11.7,11.85,11.78
2022,amphetamine,AT013,AT,Purgstall,29.71,22.69,17.08,43.89,47.43,13.62,35.98,29.46,30.5,30.06
2022,amphetamine,AT011,AT,Region Millstättersee,1.2,0.93,0.43,1.23,1.25,3.17,3.94,2.02,1.52,1.74
2022,amphetamine,AT014,AT,Salzburg,23.92,22.21,22.85,19.55,24.79,23.23,23.31,23.15,22.6,22.84
2022,amphetamine,AT015,AT,Steyr,24.24,19.93,29.36,61.68,40.31,24.56,20.87,21.68,38.98,31.56
2022,amphetamine,AT016,AT,Strass im Zillertal,16.99,11.02,12.01,12.77,12.13,11.57,14.05,14.02,12.12,12.93
2022,amphetamine,AT003,AT,Wasserverband Hofsteig,14.74,14.87,13.26,17.21,16.21,16.75,14.82,14.81,15.86,15.41
2022,amphetamine,AT017,AT,Wien,32.4,37.52,43.85,41.01,42.27,39.87,36.73,35.55,41.75,39.09
2022,amphetamine,AT018,AT,Wiener Neustadt,25.3,29.96,22.24,29.95,31.59,30.28,27.4,27.55,28.51,28.1
2022,amphetamine,AT019,AT,Wildon,17.99,16.53,13.86,16.6,18.23,15.19,15.47,16.66,15.97,16.27
2022,amphetamine,BE002,BE,Antwerp Zuid,434.92,790.31,521.83,311.25,425.45,714.6,476.57,567.27,493.28,524.99
2022,amphetamine,BE005,BE,Brussels,69.35,65.36,63.07,68,208.73,52.55,340.81,158.51,98.09,123.98
2022,amphetamine,CH001,CH,Basel,40.02,37.96,39.16,56.53,39.21,39.49,68.61,48.87,43.6,45.85
2022,amphetamine,CH002,CH,Berne,55.87,55.89,69.79,71.17,64.12,63.36,56.9,56.22,67.11,62.44
2022,amphetamine,CH003,CH,Geneva,15.01,16.99,15.17,15.42,25.54,15.8,14.98,15.66,17.98,16.99
2022,amphetamine,CH008,CH,Zurich,54.6,45.51,51.97,55.36,60.88,49.73,52.79,50.97,54.48,52.98
2022,amphetamine,CY001,CY,Agia Napa,26.68,19.24,3.64,10.77,2.19,8.78,16.33,20.75,6.34,12.52
2022,amphetamine,CY002,CY,Larnaca,1.66,2.49,1.35,1.04,3.74,0.41,2.3,2.15,1.64,1.86
2022,amphetamine,CY003,CY,Limassol,3.22,2.13,2.27,4.63,4.33,6.07,3.1,2.82,4.33,3.68
2022,amphetamine,CY005,CY,Nicosia (2),2.27,4.73,3.79,3.31,3.04,3.38,1.78,2.93,3.38,3.19
2022,amphetamine,CY007,CY,Paphos,9.04,9.85,5.48,1.73,2.49,9.37,10.22,9.7,4.77,6.88
2022,amphetamine,CZ001,CZ,Brno,21.42,33.03,31.69,28.22,38.98,37.11,43.97,32.81,34,33.49
2022,amphetamine,CZ002,CZ,České Budějovice,39.81,22.26,28.01,20.71,25.11,35.36,30.82,30.96,27.3,28.87
2022,amphetamine,CZ003,CZ,Karlovy Vary,50.16,53.07,44.54,63.48,39.98,37.81,37.45,46.89,46.45,46.64
2022,amphetamine,CZ004,CZ,Ostrava,114.28,82.44,87.19,94.97,96.94,82.12,97.71,98.14,90.3,93.66
2022,amphetamine,CZ005,CZ,Prague (2),77.51,74.37,63.61,75.17,78.28,82.91,69.97,73.95,74.99,74.54
2022,amphetamine,DE001,DE,Berlin (4),142.86,145.28,191.58,175.2,237.77,230.72,162.55,151.16,209.69,185.87
2022,amphetamine,DE008,DE,Chemnitz,23.22,24.5,35.01,20.59,29.56,37.42, ,23.86,30.64,28.38
2022,amphetamine,DE009,DE,Dortmund,187.6,211.08,187.81,163.83,213.56,186.86, ,199.34,188.02,191.79
2022,amphetamine,DE010,DE,Dresden,29.31,42.24,35.18,43.57,43.22,42.28,41.18,37.58,41.06,39.57
2022,amphetamine,DE011,DE,Dülmen,733.58,183.95,141.09,187.77,183.83, ,158.08,358.54,170.9,264.72
2022,amphetamine,DE012,DE,Erfurt,71.11,68.45,38.65,63.23,69.34,53.44,33.88,57.81,56.17,56.87
2022,amphetamine,DE023,DE,Magdeburg,113.28,162.88,125.97,147.69,161.06,166.7,150.05,142.07,150.35,146.8
2022,amphetamine,DE026,DE,Munich Gut Großlappen,33.58,28.93,30.07,32.21,39.35,29.91,27.63,30.05,32.89,31.67
2022,amphetamine,DE028,DE,Nuremberg,56.51,50.88,65.17,73.17,68.57,59.61,53.36,53.58,66.63,61.04
2022,amphetamine,DE030,DE,Saarbrücken (2),404.98,334.87,266.23,322.78,357.77,419.63,414.26,384.7,341.6,360.08
2022,amphetamine,DK001,DK,Copenhagen,63.67,61.03,72.96,80.27,76.94,69.48,69.76,64.82,74.91,70.59
2022,amphetamine,EE001,EE,Kohtla-Järve (2),108.72,131.9,114.26,76.89,143.28,158.34,167.66,136.09,123.2,128.72
2022,amphetamine,EE005,EE,Tallinn,101.23,87.72,136.98,79.79,91.73,103.73,125.42,104.79,103.06,103.8
2022,amphetamine,ES001,ES,Barcelona,13.3,12.82,25.05,29.29,33.64,30.56,28.91,18.34,29.64,24.8
2022,amphetamine,ES002,ES,Castellon,0,0,0,0,0,0,0,0,0,0
2022,amphetamine,ES003,ES,Lleida,20.56,19.84,21.14,35.43,37.28,25.44,19.12,19.84,29.83,25.55
2022,amphetamine,ES006,ES,Santiago,7.58,10.28,11.93,2.16,8.52,8.18,9.79,9.22,7.69,8.35
2022,amphetamine,ES007,ES,Tarragona,51.64,62.12,56.43,58.21,66.45,54.28,55.49,56.42,58.84,57.8
2022,amphetamine,FI001,FI,Espoo,83.81,75.8,84.67,96.97,89.63,86.89,74.67,78.09,89.54,84.63
2022,amphetamine,FI002,FI,Hämeenlinna,66.12,68.16,70.8,84.01,75.4,66.96,64.53,66.27,74.29,70.86
2022,amphetamine,FI003,FI,Helsinki,129.47,138.43,143.54,177.12,183.42,136.28,135.47,134.46,160.09,149.1
2022,amphetamine,FI004,FI,Joensuu,62.43,64.86,58.66,73.07,76.24,75.18,60.69,62.66,70.79,67.3
2022,amphetamine,FI005,FI,Jyväskylä,105.64,108.52,90.09,97.36,89.25,77.69,90.79,101.65,88.6,94.19
2022,amphetamine,FI006,FI,Kajaani,84.13,82.1,93.12,100.99,76.09,55.28,53.62,73.28,81.37,77.91
2022,amphetamine,FI007,FI,Kemi,80.2,70.58,103.57,130.85,160.2,105.21,106.5,85.76,124.96,108.16
2022,amphetamine,FI008,FI,Kokkola,64.91,53.58,55.27,63.18,60.42,67.13,62.97,60.48,61.5,61.06
2022,amphetamine,FI009,FI,Kotka,160.48,181.93,183.75,198.31,189.6,162.79,160.05,167.49,183.61,176.7
2022,amphetamine,FI010,FI,Kouvola,150.38,160.57,182.21,250.09,214.6,158.52,141.12,150.69,201.36,179.64
2022,amphetamine,FI011,FI,Kuopio,93.56,92.85,89.66,101.34,140.54,85.17,80.42,88.95,104.18,97.65
2022,amphetamine,FI012,FI,Lahti,147.5,176.19,174.57,183.22,131.24,154.54,148.63,157.44,160.89,159.41
2022,amphetamine,FI013,FI,Lappeenranta,125.38,137.08,135.92,161.57,137,112.23,113.23,125.23,136.68,131.77
2022,amphetamine,FI014,FI,Mariehamn,58.71,61.5,60.81,89.94,78.75,64.57,54.57,58.26,73.52,66.98
2022,amphetamine,FI015,FI,Mikkeli,64.86,70.8,72.09,68.7,79.87,57.07,61.52,65.73,69.43,67.84
2022,amphetamine,FI016,FI,Oulu,48.5,36.56,45.22,50.34,64.48,48.83,55.92,46.99,52.22,49.98
2022,amphetamine,FI017,FI,Pietarsaari,15.88,14.14,18.09,17.28,15.59,15.51,21.05,17.02,16.62,16.79
2022,amphetamine,FI018,FI,Pori,53.91,61.43,65.36,63.46,62.27,61.3,59.23,58.19,63.1,60.99
2022,amphetamine,FI019,FI,Rauma,41.98,38.19,46.63,73.1,66.55,43.31,153.11,77.76,57.4,66.12
2022,amphetamine,FI020,FI,Rovaniemi,72.75,76.02,82.57,91.98,98.53,70.18,60.12,69.63,85.82,78.88
2022,amphetamine,FI021,FI,Salo,30.2,33.87,34.16,30.03,22.91,21.78,32.29,32.12,27.22,29.32
2022,amphetamine,FI022,FI,Savonlinna,34.8,32.39,61.99,60.91,54.03,44.18,57.67,41.62,55.28,49.42
2022,amphetamine,FI023,FI,Seinäjoki,24.14,33.49,33.99,28.99,37.45,39.33,146.62,68.08,34.94,49.15
2022,amphetamine,FI024,FI,Tampere,69.03,81.93,91.37,105.14,68.53,63.08,64.79,71.91,82.03,77.69
2022,amphetamine,FI025,FI,Turku,66.18,68.55,67.91,74.21,79.6,59.49,62.76,65.83,70.3,68.39
2022,amphetamine,FI026,FI,Vaasa,46.75,55.51,61.73,69.87,62.99,48.87,54.53,52.26,60.86,57.18
2022,amphetamine,FI027,FI,Vihti,31.48,74.63,73.33,94.34,97.29,95.98,48.61,51.58,90.23,73.67
2022,amphetamine,GB001,GB,Bristol, , ,28.34,26.42, , , , ,27.24,27.24
2022,amphetamine,GR001,GR,Athens,4.89,3.61,4.12,6.25,5.34,4.75,5.58,4.69,5.11,4.93
2022,amphetamine,HR001,HR,Zagreb,85.47,62.52,156.14,105.15,110.94,104.08,74.33,74.11,119.08,99.81
2022,amphetamine,IT001,IT,Bozen,0,0,0,0,0,0,0,0,0,0
2022,amphetamine,IT002,IT,Milan,0,0,0,0,0,0,0,0,0,0
2022,amphetamine,LT001,LT,Kaunas,94.91,624.52,119.94,105.02,126.75,94.86,41.41,253.61,111.64,172.49
2022,amphetamine,LT002,LT,Klaipeda,9.9,12.48,13.88,9.08,10.67,13.21,9.7,10.69,11.71,11.28
2022,amphetamine,LT003,LT,Vilnius,70.67,80,79.77,106.28,85.79,74.01,68.37,73.02,86.47,80.7
2022,amphetamine,LV001,LV,Riga,106.91,91.53,102.09,107.43,123.92,124,89.39,95.94,114.36,106.47
2022,amphetamine,NL001,NL,Amsterdam,137.44,122.94,127.27,128.67,157.85,139.21,228.24,162.87,138.25,148.8
2022,amphetamine,NL005,NL,Utrecht,192.45,179.29,269.41,234.05,213.16,270.05,194.09,188.61,246.67,221.78
2022,amphetamine,PL003,PL,Krakow P,26.8,45.8,34.82,42,37.89,39.59,31.86,34.82,38.57,36.97
2022,amphetamine,PT001,PT,Almada,7.91,3.42,2.56,7.68,6.44,5.54,3.26,4.87,5.56,5.26
2022,amphetamine,PT002,PT,Lisbon,14.83,14.23,14.77,13.87,18.21,14.77,13.08,14.05,15.41,14.82
2022,amphetamine,PT003,PT,Porto,7.59,6.81,5.44,4.55,9.08,6.8,10.57,8.32,6.47,7.26
2022,amphetamine,SE001,SE,Gävle,866.67,791,878.2,982.04,763.25,928.81,903.44,853.7,888.08,873.35
2022,amphetamine,SE003,SE,Sandviken, ,671.23,600.93,744.83,754.76,759.07,643.42,657.32,714.9,695.71
2022,amphetamine,SE004,SE,Söderhamn,191.56,152.69,152.47,178.34,155.02,151.18,96.7,146.99,159.26,154
2022,amphetamine,SI001,SI,Domžale-Kamnik,0,0,0,0,0,0,0,0,0,0
2022,amphetamine,SI002,SI,Koper,0,0,0,0,0,0,0,0,0,0
2022,amphetamine,SI003,SI,Kranj,4.67,4.08,4.05,9.57,9.24,6.36,5.1,4.62,7.31,6.15
2022,amphetamine,SI004,SI,Ljubljana,16.52,19.58,16.07,17.42,17.5,28.36,21.17,19.09,19.84,19.52
2022,amphetamine,SI005,SI,Maribor,19.95,19.54,19.84,27.85,20.6,19.35,14.57,18.02,21.91,20.24
2022,amphetamine,SI006,SI,Novo mesto,2.23,2.25,2.36,2.33,17.6,11.17,7.85,4.11,8.37,6.54
2022,amphetamine,SI007,SI,Velenje,60.41,57.26,58.13,68.62,68.86,90.06,53.04,56.91,71.42,65.2
2022,amphetamine,SK002,SK,Bratislava C,15.11,26.78,19.5,26.55,23.92,21.76,17.89,19.93,22.93,21.64
2022,amphetamine,SK004,SK,Piestany,0.16,12.21,0.19,21.98,20.26,0.17,0.17,4.18,10.65,7.88
2022,amphetamine,TR003,TR,Istanbul (II-VII),12.96,15.47,11.03,12.74,13.3,14.75,13.31,13.91,12.95,13.37
2022,cannabis,AT001,AT,Graz,69.31,59.09,75.89,55.2,50.19,54.96,57,61.8,59.06,60.24
2022,cannabis,AT002,AT,Hall-Wattens,43.23,45.2,43.92,43.92,44.48,52.04,45.14,44.52,46.09,45.42
2022,cannabis,AT004,AT,Innsbruck,77.87,74.53,83.46,91.04,82.65,91.1,84.61,79,87.06,83.61
2022,cannabis,AT005,AT,Kapfenberg,18.43,17.59,21.95,14.88,13.2,34.91,28.83,21.61,21.23,21.4
2022,cannabis,AT006,AT,Klagenfurt,51.93,51.89,63.03,50.94,53.11,66.74,53.79,52.53,58.46,55.92
2022,cannabis,AT008,AT,Knittelfeld,43.28,93.2,52.96,38.57,50.67,45.26,43.77,60.08,46.86,52.53
2022,cannabis,AT009,AT,Korneuburg,61.56,51.31,46.31,90.98,49.46,53.64,41.07,51.31,60.1,56.33
2022,cannabis,AT010,AT,Kufstein,99.72,96.97,109.35,110.68,109.35,109.63,96.06,97.58,109.75,104.54
2022,cannabis,AT013,AT,Purgstall,34.75,28.37,29.61,36.13,26.1,23.58,31.76,31.63,28.85,30.04
2022,cannabis,AT011,AT,Region Millstättersee,44.24,43.71,40.85,48.34,60.77,48.08,44.2,44.05,49.51,47.17
2022,cannabis,AT014,AT,Salzburg,51.39,49.66,86.58,46.17,46.44,66.14,61.05,54.03,61.33,58.2
2022,cannabis,AT015,AT,Steyr,57.66,47.7,65.95,107.58,78.36,67.86,72.92,59.43,79.94,71.15
2022,cannabis,AT016,AT,Strass im Zillertal,33.41,30.54,31.01,38.59,31.02,37.71,36.25,33.4,34.58,34.07
2022,cannabis,AT003,AT,Wasserverband Hofsteig,47.76,50.68,57.82,46.15,45.99,60.01,45.52,47.99,52.49,50.56
2022,cannabis,AT017,AT,Wien,74,85.62,93.73,73.2,80.47,91.03,83.84,81.15,84.6,83.12
2022,cannabis,AT018,AT,Wiener Neustadt,73.26,83.72,66.1,58.24,59.13,69.03,58.27,71.75,63.13,66.82
2022,cannabis,AT019,AT,Wildon,51.24,48.71,49.55,44.75,48.54,43.81,49.01,49.65,46.66,47.94
2022,cannabis,CH001,CH,Basel,148.51,127.95,129.56,161.14,130.97,132.79,96.2,124.22,138.62,132.45
