Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End	MP ID	Term
Defcr12		No associated gene					
Ms4a8a	current symbol	MGI:1927657	19	-	11044835	11058466	
D630035O19Rik		No associated gene					
Reg3a	current symbol	MGI:109408	6	+	78357692	78360810	
Mup3	current symbol	MGI:97235	4	-	62001713	62005554	
Cpn1	current symbol	MGI:2135874	19	-	43944746	43974990	MP:0000194	increased circulating calcium level
Cpn1	current symbol	MGI:2135874	19	-	43944746	43974990	MP:0002471	abnormal complement pathway
Cpn1	current symbol	MGI:2135874	19	-	43944746	43974990	MP:0005088	increased acute inflammation
Cpn1	current symbol	MGI:2135874	19	-	43944746	43974990	MP:0010053	decreased grip strength
Lct	current symbol	MGI:104576	1	-	128212493	128256055	MP:0001325	abnormal retina morphology
Lct	current symbol	MGI:104576	1	-	128212493	128256055	MP:0011965	decreased total retina thickness
Sectm1		No associated gene					
Slc17a1	current symbol	MGI:103209	13	+	24051733	24079713	MP:0010052	increased grip strength
Tff3	current symbol	MGI:104638	17	-	31344280	31348585	MP:0000488	abnormal intestinal epithelium morphology
Tff3	current symbol	MGI:104638	17	-	31344280	31348585	MP:0005165	increased susceptibility to injury
Tff3	current symbol	MGI:104638	17	-	31344280	31348585	MP:0008537	increased susceptibility to induced colitis
2010110P09Rik		No associated gene					
Aox3	current symbol	MGI:1918974	1	+	58152289	58239857	
Casp7	current symbol	MGI:109383	19	+	56385561	56430776	MP:0013502	decreased fibroblast apoptosis
Asgr1	current symbol	MGI:88081	11	+	69944911	69948720	MP:0000609	abnormal liver physiology
Asgr1	current symbol	MGI:88081	11	+	69944911	69948720	MP:0002412	increased susceptibility to bacterial infection
Asgr1	current symbol	MGI:88081	11	+	69944911	69948720	MP:0002968	increased circulating alkaline phosphatase level
Asgr1	current symbol	MGI:88081	11	+	69944911	69948720	MP:0005607	decreased bleeding time
Asgr1	current symbol	MGI:88081	11	+	69944911	69948720	MP:0009763	increased sensitivity to induced morbidity/mortality
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0000231	hypertension
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0000676	abnormal body water content
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0003620	oliguria
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0004217	salt-sensitive hypertension
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0005618	decreased urine potassium level
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0006144	increased systemic arterial systolic blood pressure
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0010109	abnormal renal sodium reabsorption
Cyp4a10	current symbol	MGI:88611	4	+	115375484	115390846	MP:0011442	abnormal renal sodium ion transport
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0000745	tremors
