PZ7180000020811_DVU	GO:0003824	GJ12748 [Drosophila virilis]
PZ7180000020752_DVU	GO:0003824	GI16375 [Drosophila mojavensis]
PZ7180000034678_DWY	GO:0003824	hypothetical protein YpF1991016_1335 [Yersinia pestis biovar Orientalis str. F1991016]
PZ7180000024883_EZN	GO:0006548	sjchgc01974 protein
PZ7180000024883_EZN	GO:0004252	sjchgc01974 protein
PZ7180000024883_EZN	GO:0004500	sjchgc01974 protein
PZ7180000024883_EZN	GO:0006508	sjchgc01974 protein
PZ7180000023260_APN	GO:0005515	btb poz domain containing protein
PZ7180000035568_APN	GO:0005515	btb poz domain containing protein
PZ7180000020052_APQ	GO:0055114	isocitrate dehydrogenase (nad+)
PZ7180000020052_APQ	GO:0006099	isocitrate dehydrogenase (nad+)
PZ7180000020052_APQ	GO:0004449	isocitrate dehydrogenase (nad+)
PZ7180000020052_APQ	GO:0005739	isocitrate dehydrogenase (nad+)
PZ547337_APR	GO:0009408	heat shock protein
PZ7180000033253_APS	GO:0043565	bhlhzip transcription factor max bigmax
PZ7180000033253_APS	GO:0003700	bhlhzip transcription factor max bigmax
PZ7180000033253_APS	GO:0005634	bhlhzip transcription factor max bigmax
PZ7180000033253_APS	GO:0046982	bhlhzip transcription factor max bigmax
PZ7180000033253_APS	GO:0006355	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0003713	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0043565	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0003700	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0005634	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0046982	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0006366	bhlhzip transcription factor max bigmax
PZ7180000033254_APS	GO:0006355	bhlhzip transcription factor max bigmax
PZ7180000020045_APS	GO:0043565	bhlhzip transcription factor max bigmax
PZ7180000020045_APS	GO:0003700	bhlhzip transcription factor max bigmax
PZ7180000020045_APS	GO:0005634	bhlhzip transcription factor max bigmax
PZ7180000020045_APS	GO:0046982	bhlhzip transcription factor max bigmax
PZ7180000020045_APS	GO:0006355	bhlhzip transcription factor max bigmax
PZ7180000024797_APT	GO:0016787	carboxylesterase
PZ652859_APT	GO:0016787	odorant-degrading enzyme
PZ615166_APU	GO:0048488	membrane traffic protein
PZ700473_APU	GO:0016301	protein kinase c and casein kinase substrate in neurons
PZ7180000020649_APX	GO:0016787	esterase
